Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,95006,106438,157139,157850,175005,169283,148223,149368,142180,130554,125731,108286
2013,95361,103264,150082,171777,185134,171689,159041,150009,149182,145534,133960,113107
2014,95726,105861,157179,178724,195680,175585,177047,172879,167797,155051,138841,131275
2015,98404,109231,160281,189057,197907,176822,177782,175478,174342,134502,144834,128858
2016,108583,118627,175307,200487,195103,191234,173439,171903,173290,154349,160367,125686
2017,110988,123220,187833,197392,216622,202778,173576,183596,187024,163397,158594,124648
2018,112591,125724,186897,192107,215523,201018,176190,182847,167561,164818,145578,116519
2019,111105,123326,184150,183238,202314,179013,173579,181867,167436,160838,144345,110238
2020,112722,138015,82649,51332,119340,134906,172065,161333,168711,163394,132711,224382
2021,110903,114510,153722,154105,152141,162549,153081,146164,143922,122925,115241,109077
2022,36922,39082,55611,57110,56991,66514,0,0,0,0,0,0
